#bodytypes																																						
Id	ActorId	CreatureClass	Eccolapse	MutateBodyTypeId	Health	PainThresholdLimit	PainThresholdRegen	MeleeDamage	ResistSheet	WoundSlots	BaseActionPoints	MeleeAccuracy	RangeAccuracy	Dodge	MeleeThrowbackChance	ReceiveAmputationChance	ReceiveWoundChanceMult	AttackWoundChanceMult	QuazimorphosisReward	ScaleQuasimorphStats	IgnoreThrowback	HasInventoryWeaponSlots	HasInventoryEquipmentSlots	DeathExplosionRadius	DeathExplosionDamageType	DeathExplosionDamage	Immunity	Immobile	CanFly	HairTypesList	HairColorsList	OverrideBareHandWeapon	WeaponRandomConditionCapacity					
man	human_male	Human	TRUE	possessedman	35	10	1	blunt 3 4 crit 2.00 critchance 0.15	blunt 0 pierce 0 lacer 0 fire 4 cold 4 poison 4 shock 4 beam 4	HumanHead HumanShoulder HumanArm HumanThigh HumanFeet HumanChest HumanBody HumanStomach HumanKnee	1	0.05	0.05	0.15	0.2	0.25	1	1	5	FALSE	FALSE	TRUE	TRUE					FALSE	FALSE	none hair1 hair2 hair3	#633D08 #908E87 #FF3100 #FFC400		FALSE					
woman	human_female	Human	TRUE	possessedwoman	15	8	1	blunt 1 2 crit 2.00 critchance 0.25	blunt 0 pierce 0 lacer 0 fire 2 cold 2 poison 2 shock 2 beam 2	HumanHead HumanShoulder HumanArm HumanThigh HumanFeet HumanChest HumanBody HumanStomach HumanKnee	2	0.05	0.05	0.1	0.2	0.25	1	1	5	FALSE	FALSE	TRUE	TRUE					FALSE	FALSE	hair1 hair2 hair3	#633D08 #908E87 #FF3100 #FFC400		FALSE					
possessedman	possessed_male	Human	TRUE		45	14	1	blunt 3 5 crit 1.80 critchance 0.15	blunt 6 pierce 6 lacer 6 fire 0 cold 0 poison 6 shock 6 beam 0	HumanHead PossesedShoulder PossesedArm HumanThigh HumanFeet HumanChest HumanBody HumanStomach HumanKnee	1	0.15	0.05	0.15	0.2	0.3	1	1	5	TRUE	FALSE	TRUE	TRUE					FALSE	FALSE				FALSE					
possessedwoman	possessed_female	Human	TRUE		25	10	1	blunt 1 3 crit 1.85 critchance 0.30	blunt 4 pierce 4 lacer 4 fire 0 cold 0 poison 4 shock 4 beam 0	HumanHead PossesedShoulder PossesedArm HumanThigh HumanFeet HumanChest HumanBody HumanStomach HumanKnee	2	0.15	0.05	0.1	0.2	0.3	1	1	5	TRUE	FALSE	TRUE	TRUE					FALSE	FALSE				FALSE					
perfectman	human_male	Human	TRUE	possessedman	55	15	3	blunt 3 4 crit 2.00 critchance 0.15	blunt 12 pierce 12 lacer 8 fire 12 cold 8 poison 16 shock 8 beam 8	HumanHead HumanShoulder HumanArm HumanThigh HumanFeet HumanChest HumanBody HumanStomach HumanKnee	1	0.15	0.25	0.15	0.3	0.25	1	1	5	FALSE	FALSE	TRUE	TRUE					FALSE	FALSE	none hair1 hair2 hair3	#633D08 #908E87 #FF3100 #FFC400		FALSE					
perfectwoman	human_female	Human	TRUE	possessedwoman	15	8	1	blunt 4 12 crit 2.00 critchance 0.25	blunt 0 pierce 0 lacer 0 fire 2 cold 2 poison 2 shock 2 beam 2	HumanHead HumanShoulder HumanArm HumanThigh HumanFeet HumanChest HumanBody HumanStomach HumanKnee	3	0.15	0.05	0.25	0.2	0.25	1	1	5	FALSE	FALSE	TRUE	TRUE					FALSE	FALSE	hair1 hair2 hair3	#633D08 #908E87 #FF3100 #FFC400		FALSE					
aztknight	qmorph_venus_lesser_knight	Quasimorph	FALSE		80	100	1	blunt 2 4 crit 1.45 critchance 0.2	blunt 16 pierce 0 lacer 0 fire 0 cold 20 poison 30 shock 0 beam 16	VenusHead VenusCatFeet VenusShoulder VenusArm VenusChest VenusStomach VenusBody VenusThigh VenusKnee	2	0.25	0.15	0.1	0.5	0.15	1	1	20	TRUE	FALSE	TRUE	TRUE					FALSE	FALSE				FALSE					
aztservitor	qmorph_venus_servitor	Quasimorph	FALSE		40	45	1	blunt 2 4 crit 1.85 critchance 0.2	blunt 10 pierce 0 lacer 0 fire 0 cold 12 poison 20 shock 0 beam 10	SkinlessHead SkinlessShoulder SkinlessArm SkinlessThigh SkinlessFeet SkinlessChest SkinlessBody SkinlessStomach SkinlessKnee	1	0	0.05	0.15	0.4	0.15	1	1	15	TRUE	FALSE	TRUE	TRUE					FALSE	FALSE				FALSE					
bigposman	possessed_bigarm	Quasimorph	FALSE		60	16	2	blunt 2 4 crit 1.85 critchance 0.2	blunt 8 pierce 8 lacer 8 fire 0 cold 0 poison 0 shock 0 beam 0	HumanHead PossesedBigShoulder PossesedBigArm HumanThigh HumanFeet HumanChest HumanBody HumanStomach HumanKnee	1	0.3	0.2	0.1	0.6	0.25	1	1	15	TRUE	FALSE	TRUE	TRUE					FALSE	FALSE				FALSE					
blobposman	possessed_blob	Quasimorph	FALSE		50	12	1	blunt 2 2 crit 1.85 critchance 0.2	blunt 10 pierce 10 lacer 10 fire 0 cold 0 poison 0 shock 0 beam 0	HumanHead HumanShoulder HumanArm HumanThigh HumanFeet HumanChest HumanBody HumanStomach HumanKnee	1	0.3	0.2	0.1	0.3	0.25	1	1	15	TRUE	TRUE	TRUE	TRUE	3	blunt	30		FALSE	FALSE				FALSE					
